C,Penalty,Solver,Class Weight,Threshold,Accuracy,Precision,Recall,F1 Score
10.0,l2,liblinear,None,0.6,0.7982448204107482,0.5434782608695652,0.005600358422939068,0.011086474501108648
1.0,l2,lbfgs,None,0.6,0.7982448204107482,0.5476190476190477,0.005152329749103943,0.010208610741233911
1.0,l1,liblinear,None,0.6,0.7982448204107482,0.5476190476190477,0.005152329749103943,0.010208610741233911
10.0,l1,liblinear,None,0.6,0.7982448204107482,0.5434782608695652,0.005600358422939068,0.011086474501108648
10.0,l2,lbfgs,None,0.6,0.7981995838233964,0.5333333333333333,0.005376344086021506,0.010645375914836993
1.0,l2,liblinear,None,0.6,0.7981995838233964,0.5365853658536586,0.00492831541218638,0.0097669256381798
10.0,l2,liblinear,None,0.7,0.7981091106486926,0.5555555555555556,0.0011200716845878136,0.0022356360384529397
0.01,l2,lbfgs,None,0.6,0.7981091106486926,1.0,0.00022401433691756272,0.0004479283314669653
0.001,l2,liblinear,balanced,0.7,0.7981091106486926,1.0,0.00022401433691756272,0.0004479283314669653
0.001,l2,lbfgs,balanced,0.7,0.7981091106486926,1.0,0.00022401433691756272,0.0004479283314669653
0.01,l2,liblinear,None,0.6,0.7981091106486926,1.0,0.00022401433691756272,0.0004479283314669653
10.0,l1,liblinear,None,0.7,0.7981091106486926,0.5555555555555556,0.0011200716845878136,0.0022356360384529397
0.001,l2,lbfgs,None,0.7,0.7980638740613408,0.0,0.0,0.0
0.001,l2,lbfgs,None,0.6,0.7980638740613408,0.0,0.0,0.0
0.001,l2,lbfgs,None,0.5,0.7980638740613408,0.0,0.0,0.0
0.001,l2,lbfgs,None,0.4,0.7980638740613408,0.0,0.0,0.0
0.01,l2,liblinear,None,0.7,0.7980638740613408,0.0,0.0,0.0
0.001,l1,liblinear,None,0.3,0.7980638740613408,0.0,0.0,0.0
0.01,l2,lbfgs,None,0.7,0.7980638740613408,0.0,0.0,0.0
0.001,l1,liblinear,balanced,0.7,0.7980638740613408,0.0,0.0,0.0
0.001,l1,liblinear,None,0.5,0.7980638740613408,0.0,0.0,0.0
0.001,l1,liblinear,None,0.6,0.7980638740613408,0.0,0.0,0.0
0.001,l1,liblinear,None,0.7,0.7980638740613408,0.0,0.0,0.0
0.001,l1,liblinear,None,0.4,0.7980638740613408,0.0,0.0,0.0
0.001,l1,liblinear,balanced,0.6,0.7980638740613408,0.0,0.0,0.0
0.001,l2,liblinear,None,0.4,0.7980638740613408,0.0,0.0,0.0
0.001,l2,liblinear,None,0.5,0.7980638740613408,0.0,0.0,0.0
0.001,l2,liblinear,None,0.6,0.7980638740613408,0.0,0.0,0.0
0.001,l2,liblinear,None,0.7,0.7980638740613408,0.0,0.0,0.0
1.0,l2,lbfgs,None,0.7,0.7980638740613408,0.5,0.0006720430107526882,0.0013422818791946308
0.01,l2,lbfgs,None,0.5,0.7980186374739889,0.4444444444444444,0.0008960573476702509,0.001788508830762352
10.0,l2,lbfgs,None,0.7,0.7980186374739889,0.42857142857142855,0.0006720430107526882,0.0013419816595839856
1.0,l1,liblinear,None,0.7,0.7979734008866372,0.3333333333333333,0.00044802867383512545,0.0008948545861297539
1.0,l2,liblinear,None,0.7,0.7979734008866372,0.3333333333333333,0.00044802867383512545,0.0008948545861297539
0.01,l2,liblinear,None,0.5,0.7979734008866372,0.4,0.0008960573476702509,0.001788109074653554
0.01,l1,liblinear,None,0.7,0.7979281642992853,0.3333333333333333,0.0006720430107526882,0.0013413816230717639
0.01,l1,liblinear,None,0.6,0.7978829277119334,0.375,0.0013440860215053765,0.0026785714285714286
0.01,l1,liblinear,None,0.5,0.7976115081878223,0.3684210526315789,0.0031362007168458782,0.006219458018658374
1.0,l2,liblinear,None,0.5,0.7965258300913779,0.4247787610619469,0.021505376344086023,0.04093816631130064
1.0,l1,liblinear,None,0.5,0.7965258300913779,0.42342342342342343,0.021057347670250897,0.040119504908237305
1.0,l2,lbfgs,None,0.5,0.796480593504026,0.4248927038626609,0.02217741935483871,0.04215456674473068
10.0,l2,liblinear,None,0.5,0.7962996471546187,0.41841004184100417,0.022401433691756272,0.0425260472039124
10.0,l1,liblinear,None,0.5,0.7962996471546187,0.41841004184100417,0.022401433691756272,0.0425260472039124
10.0,l2,lbfgs,None,0.5,0.7961187008052113,0.4122448979591837,0.022625448028673834,0.04289658101507751
0.01,l2,liblinear,None,0.4,0.7952592056455261,0.4049079754601227,0.02956989247311828,0.05511482254697286
0.01,l2,lbfgs,None,0.4,0.7950330227087669,0.38943894389438943,0.0264336917562724,0.04950702748059576
0.01,l1,liblinear,None,0.4,0.7939925811996743,0.3448275862068966,0.022401433691756272,0.04206983592763988
0.001,l2,lbfgs,None,0.3,0.791956934768841,0.3554603854389722,0.03718637992831541,0.0673291421618333
0.01,l2,lbfgs,balanced,0.7,0.7851262100787116,0.35671342685370744,0.07974910394265233,0.13035518125228854
0.01,l2,liblinear,balanced,0.7,0.7849452637293043,0.3564356435643564,0.08064516129032258,0.13153087321885276
1.0,l2,liblinear,None,0.4,0.7843571880937302,0.3765281173594132,0.10349462365591398,0.16236162361623616
0.01,l1,liblinear,balanced,0.7,0.7843571880937302,0.3442959917780062,0.0750448028673835,0.12322972227331248
1.0,l2,lbfgs,None,0.4,0.7842667149190266,0.3761169780666125,0.10371863799283154,0.16259877085162422
10.0,l1,liblinear,None,0.4,0.7840857685696191,0.37708830548926014,0.10618279569892473,0.16570529627687466
1.0,l1,liblinear,None,0.4,0.7840857685696191,0.37241948802642444,0.10103046594982079,0.15894273127753303
10.0,l2,liblinear,None,0.4,0.7840405319822673,0.3765923566878981,0.10595878136200716,0.16538461538461538
10.0,l2,lbfgs,None,0.4,0.7836334026961006,0.37587548638132295,0.1081989247311828,0.16802922247347366
0.001,l2,liblinear,None,0.3,0.7830905636478784,0.3507664562669071,0.0871415770609319,0.13960165081643638
1.0,l1,liblinear,balanced,0.7,0.7716909436352122,0.36308125880695163,0.173163082437276,0.23449112695282875
1.0,l2,liblinear,balanced,0.7,0.7715099972858047,0.3627863487611033,0.17383512544802868,0.23504467666212328
10.0,l1,liblinear,balanced,0.7,0.7713290509363974,0.3638876093965914,0.17697132616487454,0.23813112283345894
1.0,l2,lbfgs,balanced,0.7,0.7712838143490455,0.36334256694367495,0.17629928315412186,0.23740573152337857
10.0,l2,liblinear,balanced,0.7,0.7712385777616937,0.36342699216950713,0.176747311827957,0.23782969103240392
10.0,l2,lbfgs,balanced,0.7,0.7711028679996381,0.36267281105990784,0.17629928315412186,0.23726258667470607
0.01,l1,liblinear,None,0.3,0.7661268433909346,0.3367252543940796,0.16308243727598568,0.21974041654089949
0.001,l2,liblinear,balanced,0.6,0.759341355288157,0.32975338106603025,0.1857078853046595,0.23760389796503295
0.001,l2,lbfgs,balanced,0.6,0.7590699357640459,0.3284235668789809,0.18481182795698925,0.23652522935779816
0.01,l2,liblinear,None,0.3,0.7555414819506017,0.3537647790914748,0.2547043010752688,0.29617087783276896
0.01,l2,lbfgs,None,0.3,0.7553152990138424,0.35127478753541075,0.25,0.2921083627797409
10.0,l2,lbfgs,None,0.3,0.7466298742422872,0.3552330022918258,0.3125,0.3324991061851984
10.0,l2,liblinear,None,0.3,0.7462227449561205,0.35390107088220296,0.3109318996415771,0.3310279036489387
10.0,l1,liblinear,None,0.3,0.7462227449561205,0.35397553516819574,0.3111559139784946,0.3311874105865522
1.0,l2,lbfgs,None,0.3,0.7460870351940649,0.3531066223472258,0.3093637992831541,0.3297910447761194
1.0,l2,liblinear,None,0.3,0.7458608522573057,0.35258048032703115,0.30913978494623656,0.32943423251372644
1.0,l1,liblinear,None,0.3,0.7457251424952501,0.35200818623688923,0.30824372759856633,0.32867550459811296
0.01,l1,liblinear,balanced,0.6,0.7392110739165837,0.3390249938134125,0.30689964157706096,0.3221634332745444
0.01,l2,lbfgs,balanced,0.6,0.7311589613679544,0.33962264150943394,0.35080645161290325,0.34512396694214875
0.01,l2,liblinear,balanced,0.6,0.7308423052564914,0.3394554883318928,0.351926523297491,0.34557853057633087
10.0,l2,liblinear,balanced,0.6,0.7224735365963991,0.33892423366107577,0.39381720430107525,0.36431457880012436
1.0,l1,liblinear,balanced,0.6,0.7224735365963991,0.33855072463768116,0.3924731182795699,0.36352318705259884
1.0,l2,lbfgs,balanced,0.6,0.7223830634216954,0.33860698437198533,0.39314516129032256,0.36384368197367056
10.0,l1,liblinear,balanced,0.6,0.7223378268343437,0.3387904468412943,0.39404121863799285,0.3643330571665286
10.0,l2,lbfgs,balanced,0.6,0.7223378268343437,0.3387904468412943,0.39404121863799285,0.3643330571665286
1.0,l2,liblinear,balanced,0.6,0.7221116438975844,0.3380906460945034,0.3926971326164875,0.36335371541092343
10.0,l2,liblinear,balanced,0.5,0.6582828191441238,0.3202652396463471,0.6167114695340502,0.42159264931087287
10.0,l1,liblinear,balanced,0.5,0.6581923459694201,0.32019074203303094,0.6167114695340502,0.42152809676925435
1.0,l2,lbfgs,balanced,0.5,0.6580566362073645,0.31995346131471786,0.6160394265232975,0.4211654797457692
1.0,l2,liblinear,balanced,0.5,0.6579661630326609,0.320130096410733,0.6173835125448028,0.42163237206456056
10.0,l2,lbfgs,balanced,0.5,0.6578304532706053,0.31976744186046513,0.6160394265232975,0.42100428658909983
1.0,l1,liblinear,balanced,0.5,0.657604270333846,0.3197910621009867,0.6171594982078853,0.4212860310421286
0.01,l1,liblinear,balanced,0.5,0.6571066678729757,0.3185840707964602,0.6129032258064516,0.41924609255286543
0.001,l1,liblinear,balanced,0.5,0.6549353116800869,0.27991096271563715,0.4507168458781362,0.3453484380363886
0.01,l2,liblinear,balanced,0.5,0.6490545553243463,0.3157305884985455,0.632168458781362,0.4211311744515744
0.01,l2,lbfgs,balanced,0.5,0.6489188455622907,0.3155833985904464,0.6319444444444444,0.4209505334626576
0.001,l2,lbfgs,balanced,0.5,0.6382430109472541,0.3008230916676063,0.5976702508960573,0.40021000525013123
0.001,l2,liblinear,balanced,0.5,0.6371120962634579,0.30078387458006717,0.6017025089605734,0.4010751082574287
10.0,l2,liblinear,balanced,0.4,0.5152899665249253,0.2706728299948639,0.8263888888888888,0.4077820151439783
10.0,l1,liblinear,balanced,0.4,0.5151994933502216,0.270599457040135,0.8261648745519713,0.4076714751561377
10.0,l2,lbfgs,balanced,0.4,0.5150185470008143,0.2702504222662848,0.8243727598566308,0.40705713179580777
1.0,l2,lbfgs,balanced,0.4,0.5144304713652402,0.27006014375825144,0.8248207885304659,0.40689578959000994
1.0,l2,liblinear,balanced,0.4,0.5143399981905366,0.2703909796456289,0.8272849462365591,0.4075709082882684
1.0,l1,liblinear,balanced,0.4,0.5133900298561477,0.2699758754294905,0.8272849462365591,0.40709915669955354
0.01,l2,lbfgs,balanced,0.4,0.464670225278205,0.25433333333333336,0.8546146953405018,0.3920057542129059
0.01,l2,liblinear,balanced,0.4,0.46408214964263095,0.25414585414585417,0.8548387096774194,0.3918065609117511
0.01,l1,liblinear,balanced,0.4,0.42970234325522483,0.24611835131258963,0.8841845878136201,0.3850543875908492
0.001,l2,lbfgs,balanced,0.4,0.2997828643807111,0.2172886402135414,0.948252688172043,0.3535602422217582
10.0,l2,liblinear,balanced,0.3,0.29458065683524837,0.21856983918276524,0.9681899641577061,0.35663008499051074
10.0,l1,liblinear,balanced,0.3,0.29458065683524837,0.21856983918276524,0.9681899641577061,0.35663008499051074
