C,Penalty,Solver,Class Weight,Threshold,Accuracy,Precision,Recall,F1 Score
0.001,l1,liblinear,None,0.7,0.7980638740613408,0.0,0.0,0.0
0.001,l1,liblinear,balanced,0.7,0.7980638740613408,0.0,0.0,0.0
0.001,l2,lbfgs,balanced,0.7,0.7971591423143038,0.2222222222222222,0.0017921146953405018,0.0035555555555555557
0.001,l2,liblinear,balanced,0.7,0.7971591423143038,0.2222222222222222,0.0017921146953405018,0.0035555555555555557
0.001,l2,lbfgs,None,0.7,0.7971591423143038,0.2222222222222222,0.0017921146953405018,0.0035555555555555557
0.001,l2,liblinear,None,0.7,0.7971591423143038,0.2222222222222222,0.0017921146953405018,0.0035555555555555557
0.001,l1,liblinear,None,0.6,0.7961639373925631,0.2558139534883721,0.00492831541218638,0.00967032967032967
0.001,l1,liblinear,balanced,0.6,0.7961639373925631,0.2558139534883721,0.00492831541218638,0.00967032967032967
0.01,l1,liblinear,balanced,0.7,0.7800597122953045,0.3293310463121784,0.08602150537634409,0.1364120781527531
0.01,l1,liblinear,None,0.7,0.7800597122953045,0.3293310463121784,0.08602150537634409,0.1364120781527531
0.01,l2,liblinear,balanced,0.7,0.7792454537229712,0.34546805349182763,0.10416666666666667,0.16006884681583478
0.01,l2,liblinear,None,0.7,0.7792454537229712,0.34546805349182763,0.10416666666666667,0.16006884681583478
0.01,l2,lbfgs,balanced,0.7,0.7791097439609156,0.3446997776130467,0.10416666666666667,0.15998623774298984
0.01,l2,lbfgs,None,0.7,0.7791097439609156,0.3446997776130467,0.10416666666666667,0.15998623774298984
1.0,l2,lbfgs,balanced,0.7,0.7736813534786936,0.37136038186157516,0.1742831541218638,0.2372312852568989
1.0,l2,lbfgs,None,0.7,0.7736813534786936,0.37136038186157516,0.1742831541218638,0.2372312852568989
1.0,l1,liblinear,None,0.7,0.7735908803039898,0.3701392222755641,0.17271505376344087,0.23552772262104782
1.0,l1,liblinear,balanced,0.7,0.7735908803039898,0.3701392222755641,0.17271505376344087,0.23552772262104782
1.0,l2,liblinear,None,0.7,0.773545643716638,0.37058261700095513,0.17383512544802868,0.23665751753583408
1.0,l2,liblinear,balanced,0.7,0.773545643716638,0.37058261700095513,0.17383512544802868,0.23665751753583408
10.0,l2,liblinear,balanced,0.7,0.7734551705419344,0.3709677419354839,0.17517921146953405,0.23797930614729154
10.0,l1,liblinear,balanced,0.7,0.7734551705419344,0.3709677419354839,0.17517921146953405,0.23797930614729154
10.0,l2,liblinear,None,0.7,0.7734551705419344,0.3709677419354839,0.17517921146953405,0.23797930614729154
10.0,l1,liblinear,None,0.7,0.7734551705419344,0.3709677419354839,0.17517921146953405,0.23797930614729154
10.0,l2,lbfgs,balanced,0.7,0.7732742241925269,0.3709981167608286,0.17652329749103943,0.2392228293867638
10.0,l2,lbfgs,None,0.7,0.7732742241925269,0.3709981167608286,0.17652329749103943,0.2392228293867638
0.001,l2,lbfgs,balanced,0.6,0.7501130914683797,0.3229792919171677,0.21662186379928317,0.2593188522392062
0.001,l2,lbfgs,None,0.6,0.7501130914683797,0.3229792919171677,0.21662186379928317,0.2593188522392062
0.001,l2,liblinear,balanced,0.6,0.7499773817063241,0.32277425808602866,0.2168458781362007,0.2594131046496047
0.001,l2,liblinear,None,0.6,0.7499773817063241,0.32277425808602866,0.2168458781362007,0.2594131046496047
0.01,l1,liblinear,balanced,0.6,0.7343255224825839,0.33512754505031594,0.3207885304659498,0.32780130479569647
0.01,l1,liblinear,None,0.6,0.7343255224825839,0.33512754505031594,0.3207885304659498,0.32780130479569647
0.01,l2,liblinear,None,0.6,0.7277662173165657,0.33397435897435895,0.35013440860215056,0.34186351706036744
0.01,l2,liblinear,balanced,0.6,0.7277662173165657,0.33397435897435895,0.35013440860215056,0.34186351706036744
0.01,l2,lbfgs,None,0.6,0.7277209807292138,0.33404482390608325,0.35058243727598565,0.34211389222865884
0.01,l2,lbfgs,balanced,0.6,0.7277209807292138,0.33404482390608325,0.35058243727598565,0.34211389222865884
10.0,l1,liblinear,balanced,0.6,0.7231973219940288,0.33623589946566396,0.38060035842293904,0.357045287380477
10.0,l1,liblinear,None,0.6,0.7231973219940288,0.33623589946566396,0.38060035842293904,0.357045287380477
10.0,l2,liblinear,None,0.6,0.7230616122319732,0.3360363924050633,0.38060035842293904,0.3569327731092437
10.0,l2,liblinear,balanced,0.6,0.7230616122319732,0.3360363924050633,0.38060035842293904,0.3569327731092437
1.0,l2,liblinear,None,0.6,0.7229259024699176,0.335446800079255,0.37925627240143367,0.3560088318788771
1.0,l2,liblinear,balanced,0.6,0.7229259024699176,0.335446800079255,0.37925627240143367,0.3560088318788771
1.0,l2,lbfgs,balanced,0.6,0.7226997195331584,0.33524525316455694,0.3797043010752688,0.3560924369747899
1.0,l2,lbfgs,None,0.6,0.7226997195331584,0.33524525316455694,0.3797043010752688,0.3560924369747899
1.0,l1,liblinear,None,0.6,0.7226092463584547,0.3347205707491082,0.37836021505376344,0.35520504731861197
1.0,l1,liblinear,balanced,0.6,0.7226092463584547,0.3347205707491082,0.37836021505376344,0.35520504731861197
10.0,l2,lbfgs,balanced,0.6,0.7224735365963991,0.335109532267614,0.3803763440860215,0.35631098520616933
10.0,l2,lbfgs,None,0.6,0.7224735365963991,0.335109532267614,0.3803763440860215,0.35631098520616933
0.001,l1,liblinear,balanced,0.5,0.6642992852619198,0.28375018282872605,0.4345878136200717,0.34333244845588884
0.001,l1,liblinear,None,0.5,0.6642992852619198,0.28375018282872605,0.4345878136200717,0.34333244845588884
10.0,l1,liblinear,None,0.5,0.6581018727947163,0.3164451827242525,0.5974462365591398,0.41374495811355877
10.0,l1,liblinear,balanced,0.5,0.6581018727947163,0.3164451827242525,0.5974462365591398,0.41374495811355877
1.0,l2,lbfgs,balanced,0.5,0.6577852166832534,0.3160953623532203,0.5969982078853047,0.4133385032958511
1.0,l2,lbfgs,None,0.5,0.6577852166832534,0.3160953623532203,0.5969982078853047,0.4133385032958511
10.0,l2,lbfgs,balanced,0.5,0.6577852166832534,0.3160953623532203,0.5969982078853047,0.4133385032958511
10.0,l2,liblinear,None,0.5,0.6577852166832534,0.3160953623532203,0.5969982078853047,0.4133385032958511
10.0,l2,liblinear,balanced,0.5,0.6577852166832534,0.3160953623532203,0.5969982078853047,0.4133385032958511
10.0,l2,lbfgs,None,0.5,0.6577852166832534,0.3160953623532203,0.5969982078853047,0.4133385032958511
